date,city,temperature,rainfall,humidity
2024-04-28,Boston,29.19,2.27,100.0
2024-04-29,Boston,28.98,0.0,97.2
2024-04-30,Boston,30.48,11.08,57.78
2024-05-01,Boston,29.95,0.0,75.68
2024-05-02,Boston,27.59,0.0,80.65
2024-05-03,Boston,24.2,0.0,67.25
2024-05-04,Boston,28.87,6.85,74.84
2024-05-05,Boston,30.58,5.5,57.35
2024-05-06,Boston,27.38,0.59,65.91
2024-05-07,Boston,25.23,3.7,58.27
2024-05-08,Boston,27.88,3.39,10.95
2024-05-09,Boston,25.42,1.46,58.89
2024-05-10,Boston,27.63,3.51,90.32
2024-05-11,Boston,27.63,0.43,28.02
2024-05-12,Boston,24.15,4.68,81.21
2024-05-13,Boston,29.86,0.0,53.92
2024-05-14,Boston,27.14,12.24,62.3
2024-05-15,Boston,29.64,2.85,83.06
2024-05-16,Boston,28.47,2.83,39.59
2024-05-17,Boston,25.76,9.45,77.56
2024-05-18,Boston,25.3,0.29,25.38
2024-05-19,Boston,28.93,6.43,57.26
2024-05-20,Boston,26.32,0.0,50.27
2024-05-21,Boston,28.45,6.91,66.61
2024-05-22,Boston,25.62,5.98,54.37
2024-05-23,Boston,22.19,1.97,68.06
2024-05-24,Boston,27.63,0.0,57.54
2024-05-25,Boston,25.09,0.0,69.75
2024-05-26,Boston,26.6,0.55,100.0
2024-05-27,Boston,24.32,0.0,50.49
2024-05-28,Boston,23.18,0.0,31.32
2024-05-29,Boston,24.29,2.29,14.34
2024-05-30,Boston,24.32,2.21,70.29
2024-05-31,Boston,26.79,6.26,47.59
2024-06-01,Boston,22.75,4.9,49.05
2024-06-02,Boston,21.62,13.87,53.79
2024-06-03,Boston,22.67,0.0,77.03
2024-06-04,Boston,21.79,2.14,79.37
2024-06-05,Boston,21.67,2.4,90.48
2024-06-06,Boston,18.54,0.0,41.91
2024-06-07,Boston,22.93,1.76,38.77
2024-06-08,Boston,21.83,0.0,52.98
2024-06-09,Boston,23.42,6.55,81.11
2024-06-10,Boston,24.13,0.0,59.93
2024-06-11,Boston,27.41,7.07,51.19
2024-06-12,Boston,25.66,0.06,46.63
2024-06-13,Boston,25.12,0.0,21.72
2024-06-14,Boston,24.05,2.14,62.55
2024-06-15,Boston,21.28,0.81,50.84
2024-06-16,Boston,20.58,0.09,51.73
2024-06-17,Boston,20.01,0.0,10.0
2024-06-18,Boston,22.87,3.95,58.3
2024-06-19,Boston,21.8,3.37,45.52
2024-06-20,Boston,20.1,4.64,64.15
2024-06-21,Boston,25.08,10.1,78.66
2024-06-22,Boston,19.3,0.0,39.96
2024-06-23,Boston,21.21,0.0,50.83
2024-06-24,Boston,19.87,0.0,75.95
2024-06-25,Boston,18.03,3.34,100.0
2024-06-26,Boston,16.92,1.26,51.85
2024-06-27,Boston,18.76,5.8,82.13
2024-06-28,Boston,21.34,0.0,100.0
2024-06-29,Boston,16.08,0.0,63.39
2024-06-30,Boston,19.63,4.44,91.6
2024-07-01,Boston,19.04,2.57,48.11
2024-07-02,Boston,20.28,0.41,53.62
2024-07-03,Boston,20.02,7.17,15.84
2024-07-04,Boston,19.48,0.65,78.95
2024-07-05,Boston,18.09,8.51,46.47
2024-07-06,Boston,13.96,7.26,43.13
2024-07-07,Boston,15.09,2.08,55.22
2024-07-08,Boston,19.72,6.46,61.91
2024-07-09,Boston,16.14,3.43,63.3
2024-07-10,Boston,18.87,0.0,51.99
2024-07-11,Boston,18.58,8.24,79.32
2024-07-12,Boston,17.56,0.0,68.08
2024-07-13,Boston,15.05,0.0,90.2
2024-07-14,Boston,17.86,0.26,76.58
2024-07-15,Boston,19.47,0.0,51.45
2024-07-16,Boston,15.62,6.82,79.47
2024-07-17,Boston,19.33,7.04,27.36
2024-07-18,Boston,16.96,0.0,49.74
2024-07-19,Boston,16.57,6.18,42.18
2024-07-20,Boston,11.42,2.9,100.0
2024-07-21,Boston,15.5,2.23,95.64
2024-07-22,Boston,16.93,3.08,68.84
2024-07-23,Boston,16.09,0.0,33.17
2024-07-24,Boston,19.2,2.92,62.0
2024-07-25,Boston,15.09,5.91,100.0
2024-07-26,Boston,16.16,0.0,57.33
2024-07-27,Boston,17.1,0.0,77.04
2024-07-28,Boston,10.16,0.85,72.56
2024-07-29,Boston,17.19,0.0,29.94
2024-07-30,Boston,13.98,0.0,57.02
2024-07-31,Boston,14.34,0.0,76.09
2024-08-01,Boston,13.89,7.4,23.1
2024-08-02,Boston,12.02,4.58,44.02
2024-08-03,Boston,13.58,2.0,63.17
2024-08-04,Boston,12.41,2.75,44.35
2024-08-05,Boston,14.97,1.43,63.1
2024-08-06,Boston,18.63,0.0,87.77
2024-08-07,Boston,8.03,0.0,35.19
2024-08-08,Boston,10.86,3.02,65.8
2024-08-09,Boston,12.57,1.25,70.56
2024-08-10,Boston,14.61,0.0,52.76
2024-08-11,Boston,12.67,4.43,44.55
2024-08-12,Boston,12.5,2.15,45.91
2024-08-13,Boston,11.1,2.49,57.39
2024-08-14,Boston,13.43,0.0,52.99
2024-08-15,Boston,11.85,6.07,41.19
2024-08-16,Boston,12.66,3.26,92.93
2024-08-17,Boston,10.05,0.0,41.25
2024-08-18,Boston,8.61,10.82,35.17
2024-08-19,Boston,10.2,8.58,24.94
2024-08-20,Boston,13.24,0.0,84.93
2024-08-21,Boston,7.27,0.0,49.1
2024-08-22,Boston,13.45,1.85,53.29
2024-08-23,Boston,14.09,12.78,73.45
2024-08-24,Boston,10.05,0.0,34.23
2024-08-25,Boston,11.4,0.0,71.04
2024-08-26,Boston,15.11,5.59,50.62
2024-08-27,Boston,12.06,10.1,91.41
2024-08-28,Boston,8.9,4.55,56.84
2024-08-29,Boston,12.43,3.92,12.61
2024-08-30,Boston,10.04,2.99,31.31
2024-08-31,Boston,11.81,0.0,44.03
2024-09-01,Boston,13.25,0.0,71.48
2024-09-02,Boston,6.98,12.41,53.91
2024-09-03,Boston,10.6,2.9,72.15
2024-09-04,Boston,7.29,1.97,46.82
2024-09-05,Boston,6.88,6.94,52.96
2024-09-06,Boston,10.67,2.9,53.3
2024-09-07,Boston,14.07,1.76,28.84
2024-09-08,Boston,9.26,4.5,70.65
2024-09-09,Boston,7.82,6.65,24.74
2024-09-10,Boston,12.22,0.0,55.48
2024-09-11,Boston,12.01,2.6,76.33
2024-09-12,Boston,11.06,8.43,81.24
2024-09-13,Boston,8.87,5.16,29.47
2024-09-14,Boston,9.61,6.09,62.68
2024-09-15,Boston,10.58,0.93,82.58
2024-09-16,Boston,9.48,0.0,77.73
2024-09-17,Boston,6.79,4.51,39.15
2024-09-18,Boston,12.12,0.69,62.7
2024-09-19,Boston,10.36,0.0,46.99
2024-09-20,Boston,11.59,6.34,65.66
2024-09-21,Boston,6.78,4.93,74.27
2024-09-22,Boston,9.55,8.12,46.33
2024-09-23,Boston,8.41,0.0,78.4
2024-09-24,Boston,10.04,0.0,24.83
2024-09-25,Boston,7.65,5.97,53.99
2024-09-26,Boston,7.77,0.0,38.98
2024-09-27,Boston,5.51,0.0,38.59
2024-09-28,Boston,10.73,1.17,43.49
2024-09-29,Boston,13.98,0.0,83.34
2024-09-30,Boston,12.61,0.0,61.48
2024-10-01,Boston,8.33,0.0,71.11
2024-10-02,Boston,8.13,0.0,56.64
2024-10-03,Boston,8.63,0.0,75.92
2024-10-04,Boston,11.49,3.72,52.47
2024-10-05,Boston,7.99,0.0,100.0
2024-10-06,Boston,11.3,0.0,63.29
2024-10-07,Boston,8.72,4.92,70.87
2024-10-08,Boston,11.63,0.0,62.09
2024-10-09,Boston,5.99,0.0,77.68
2024-10-10,Boston,7.62,0.0,59.83
2024-10-11,Boston,10.94,0.0,10.0
2024-10-12,Boston,7.84,8.03,66.86
2024-10-13,Boston,12.27,0.0,27.21
2024-10-14,Boston,10.59,3.2,66.11
2024-10-15,Boston,11.57,4.11,68.11
2024-10-16,Boston,11.18,4.51,77.15
2024-10-17,Boston,11.82,9.66,47.02
2024-10-18,Boston,10.81,0.15,43.33
2024-10-19,Boston,8.53,4.47,68.37
2024-10-20,Boston,10.77,0.87,60.07
2024-10-21,Boston,11.66,0.0,60.49
2024-10-22,Boston,10.27,5.77,33.0
2024-10-23,Boston,13.14,3.07,65.33
2024-10-24,Boston,9.42,4.69,60.96
2024-10-25,Boston,12.71,0.0,63.51
2024-10-26,Boston,11.18,1.07,51.91
2024-10-27,Boston,9.72,2.87,23.8
2024-10-28,Boston,12.45,0.0,62.56
2024-10-29,Boston,11.34,0.0,57.38
2024-10-30,Boston,6.62,5.66,81.6
2024-10-31,Boston,7.37,0.0,35.4
2024-11-01,Boston,10.51,5.24,79.75
2024-11-02,Boston,13.2,8.55,55.55
2024-11-03,Boston,8.76,1.43,72.67
2024-11-04,Boston,8.69,10.3,77.96
2024-11-05,Boston,10.83,0.0,46.62
2024-11-06,Boston,11.5,0.85,79.01
2024-11-07,Boston,10.77,4.53,59.42
2024-11-08,Boston,12.1,0.85,74.15
2024-11-09,Boston,13.11,4.3,72.15
2024-11-10,Boston,9.89,3.62,84.98
2024-11-11,Boston,12.88,0.0,59.0
2024-11-12,Boston,12.76,0.0,32.83
2024-11-13,Boston,11.49,0.0,59.71
2024-11-14,Boston,9.06,4.82,47.31
2024-11-15,Boston,14.36,0.62,59.49
2024-11-16,Boston,12.15,0.0,100.0
2024-11-17,Boston,11.63,7.12,38.13
2024-11-18,Boston,13.49,4.39,59.52
2024-11-19,Boston,11.74,0.68,51.93
2024-11-20,Boston,17.81,1.89,70.5
2024-11-21,Boston,16.71,0.0,60.75
2024-11-22,Boston,12.74,1.57,56.42
2024-11-23,Boston,11.95,2.98,38.75
2024-11-24,Boston,15.53,5.12,50.13
2024-11-25,Boston,12.81,3.38,44.03
2024-11-26,Boston,17.46,3.79,67.87
2024-11-27,Boston,15.35,0.0,81.78
2024-11-28,Boston,14.36,6.75,56.04
2024-11-29,Boston,16.91,4.01,100.0
2024-11-30,Boston,13.69,3.02,39.37
2024-12-01,Boston,13.52,5.09,82.59
2024-12-02,Boston,20.66,1.52,41.34
2024-12-03,Boston,16.39,0.0,71.29
2024-12-04,Boston,14.03,3.06,81.82
2024-12-05,Boston,14.97,6.66,77.46
2024-12-06,Boston,11.62,0.0,28.76
2024-12-07,Boston,19.51,1.47,95.62
2024-12-08,Boston,12.4,0.0,76.01
2024-12-09,Boston,16.19,4.66,34.92
2024-12-10,Boston,18.74,5.89,68.03
2024-12-11,Boston,14.78,3.62,54.17
2024-12-12,Boston,13.01,1.75,56.87
2024-12-13,Boston,18.6,0.0,64.7
2024-12-14,Boston,14.33,3.6,67.49
2024-12-15,Boston,16.64,6.04,35.08
2024-12-16,Boston,19.19,0.0,28.88
2024-12-17,Boston,16.6,0.0,65.08
2024-12-18,Boston,16.79,8.17,72.98
2024-12-19,Boston,14.7,0.0,70.41
2024-12-20,Boston,19.34,8.11,84.29
2024-12-21,Boston,17.64,3.81,85.97
2024-12-22,Boston,17.38,3.9,53.46
2024-12-23,Boston,17.06,2.24,46.25
2024-12-24,Boston,18.07,0.0,56.2
2024-12-25,Boston,19.4,0.0,60.19
2024-12-26,Boston,18.95,4.26,57.33
2024-12-27,Boston,21.02,0.0,100.0
2024-12-28,Boston,17.28,4.02,41.23
2024-12-29,Boston,20.48,3.38,46.99
2024-12-30,Boston,21.51,1.18,70.94
2024-01-01,Phoenix,29.29,2.75,67.3
2024-01-02,Phoenix,36.1,1.71,64.02
2024-01-03,Phoenix,33.57,7.53,83.74
2024-01-04,Phoenix,32.92,0.0,92.67
2024-01-05,Phoenix,29.52,3.51,44.91
2024-01-06,Phoenix,31.86,3.64,66.43
2024-01-07,Phoenix,33.0,10.07,69.07
2024-01-08,Phoenix,31.84,6.82,83.79
2024-01-09,Phoenix,30.04,4.99,74.02
2024-01-10,Phoenix,32.07,8.88,57.0
2024-01-11,Phoenix,33.09,1.13,60.31
2024-01-12,Phoenix,30.81,0.0,91.89
2024-01-13,Phoenix,31.48,0.0,16.93
2024-01-14,Phoenix,32.06,0.0,92.84
2024-01-15,Phoenix,35.53,0.0,100.0
2024-01-16,Phoenix,35.64,0.38,10.01
2024-01-17,Phoenix,38.42,0.0,27.09
2024-01-18,Phoenix,36.05,14.2,87.69
2024-01-19,Phoenix,35.29,4.97,77.07
2024-01-20,Phoenix,35.85,3.41,62.08
2024-01-21,Phoenix,34.36,0.0,54.39
2024-01-22,Phoenix,31.26,1.51,40.23
2024-01-23,Phoenix,32.6,2.9,87.84
2024-01-24,Phoenix,36.8,0.0,40.21
2024-01-25,Phoenix,37.01,0.0,55.51
2024-01-26,Phoenix,36.38,0.0,62.11
2024-01-27,Phoenix,32.77,0.0,66.4
2024-01-28,Phoenix,32.4,4.2,59.61
2024-01-29,Phoenix,36.85,3.12,87.28
2024-01-30,Phoenix,36.14,0.0,62.45
2024-01-31,Phoenix,37.13,2.24,60.81
2024-02-01,Phoenix,34.78,0.0,31.95
2024-02-02,Phoenix,39.83,0.0,46.14
2024-02-03,Phoenix,35.04,6.47,54.1
2024-02-04,Phoenix,39.12,0.0,65.58
2024-02-05,Phoenix,35.09,12.73,36.25
2024-02-06,Phoenix,37.52,5.17,68.28
2024-02-07,Phoenix,36.67,1.35,60.88
2024-02-08,Phoenix,36.88,6.82,100.0
2024-02-09,Phoenix,36.19,0.0,58.23
2024-02-10,Phoenix,42.6,0.0,92.78
2024-02-11,Phoenix,40.92,0.0,71.38
2024-02-12,Phoenix,40.95,0.1,55.93
2024-02-13,Phoenix,36.66,0.0,47.01
2024-02-14,Phoenix,35.5,2.17,44.6
2024-02-15,Phoenix,38.54,0.0,66.62
2024-02-16,Phoenix,39.86,0.0,67.48
2024-02-17,Phoenix,40.76,0.0,93.45
2024-02-18,Phoenix,39.26,0.0,58.88
2024-02-19,Phoenix,39.65,2.38,70.78
2024-02-20,Phoenix,36.81,2.85,31.73
2024-02-21,Phoenix,38.53,0.0,45.29
2024-02-22,Phoenix,41.33,7.46,72.18
2024-02-23,Phoenix,36.78,0.42,84.26
2024-02-24,Phoenix,39.35,13.6,67.87
2024-02-25,Phoenix,39.55,0.45,62.67
2024-02-26,Phoenix,38.96,5.54,79.13
2024-02-27,Phoenix,37.79,0.0,23.28
2024-02-28,Phoenix,40.47,0.0,16.94
2024-02-29,Phoenix,40.32,14.46,59.88
2024-03-01,Phoenix,41.3,2.41,58.02
2024-03-02,Phoenix,41.55,0.55,65.35
2024-03-03,Phoenix,40.44,0.0,79.84
2024-03-04,Phoenix,39.52,0.0,70.73
2024-03-05,Phoenix,38.15,2.14,59.82
2024-03-06,Phoenix,42.19,4.37,59.5
2024-03-07,Phoenix,41.73,8.95,71.16
2024-03-08,Phoenix,40.18,0.0,38.7
2024-03-09,Phoenix,39.62,0.0,56.26
2024-03-10,Phoenix,40.4,4.65,58.59
2024-03-11,Phoenix,41.32,2.32,20.49
2024-03-12,Phoenix,38.53,1.28,35.81
2024-03-13,Phoenix,41.66,9.65,84.38
2024-03-14,Phoenix,40.09,9.45,62.97
2024-03-15,Phoenix,39.89,0.0,53.95
2024-03-16,Phoenix,39.83,2.85,63.21
2024-03-17,Phoenix,40.66,4.18,83.81
2024-03-18,Phoenix,42.59,0.0,10.0
2024-03-19,Phoenix,42.6,0.0,55.5
2024-03-20,Phoenix,38.43,0.0,70.83
2024-03-21,Phoenix,42.32,0.0,10.0
2024-03-22,Phoenix,39.73,3.96,30.42
2024-03-23,Phoenix,41.22,1.92,71.59
2024-03-24,Phoenix,41.11,0.0,83.93
2024-03-25,Phoenix,40.58,1.86,41.33
2024-03-26,Phoenix,40.03,0.0,56.54
2024-03-27,Phoenix,44.35,0.0,27.73
2024-03-28,Phoenix,43.88,0.95,46.62
2024-03-29,Phoenix,43.03,0.0,96.52
2024-03-30,Phoenix,42.31,0.0,100.0
2024-03-31,Phoenix,39.74,5.71,65.99
2024-04-01,Phoenix,43.56,9.81,60.64
2024-04-02,Phoenix,39.44,4.3,46.45
2024-04-03,Phoenix,44.97,2.68,52.69
2024-04-04,Phoenix,41.3,0.0,40.57
2024-04-05,Phoenix,43.32,0.0,39.06
2024-04-06,Phoenix,41.98,7.93,74.38
2024-04-07,Phoenix,42.88,0.0,31.56
2024-04-08,Phoenix,43.87,0.39,54.98
2024-04-09,Phoenix,43.5,4.78,69.12
2024-04-10,Phoenix,45.14,0.0,78.56
2024-04-11,Phoenix,40.9,3.34,90.57
2024-04-12,Phoenix,41.76,4.69,81.45
2024-04-13,Phoenix,39.98,0.0,39.1
2024-04-14,Phoenix,36.74,12.28,37.94
2024-04-15,Phoenix,40.19,0.62,66.15
2024-04-16,Phoenix,42.22,6.3,48.34
2024-04-17,Phoenix,40.21,3.41,55.03
2024-04-18,Phoenix,43.7,4.45,74.7
2024-04-19,Phoenix,41.76,7.87,63.62
2024-04-20,Phoenix,37.79,4.0,46.97
2024-04-21,Phoenix,39.26,4.93,84.77
2024-04-22,Phoenix,40.3,3.54,94.04
2024-04-23,Phoenix,40.68,15.01,71.31
2024-04-24,Phoenix,36.61,5.77,67.62
2024-04-25,Phoenix,42.64,5.37,57.23
2024-04-26,Phoenix,37.54,0.95,42.99
2024-04-27,Phoenix,38.75,4.94,93.4
2024-04-28,Phoenix,40.62,0.0,68.89
2024-04-29,Phoenix,42.15,0.0,57.32
2024-04-30,Phoenix,39.7,0.0,72.97
2024-05-01,Phoenix,39.34,4.1,42.25
2024-05-02,Phoenix,38.62,5.61,52.54
2024-05-03,Phoenix,42.86,0.0,64.49
2024-05-04,Phoenix,41.18,0.0,24.78
2024-05-05,Phoenix,36.17,8.31,48.96
2024-05-06,Phoenix,44.23,0.0,63.69
2024-05-07,Phoenix,42.1,12.03,100.0
2024-05-08,Phoenix,41.33,7.12,71.85
2024-05-09,Phoenix,40.37,0.0,43.64
2024-05-10,Phoenix,38.69,1.15,50.94
2024-05-11,Phoenix,39.98,6.78,61.77
2024-05-12,Phoenix,41.43,0.0,56.13
2024-05-13,Phoenix,36.93,0.0,58.35
2024-05-14,Phoenix,38.0,9.57,72.62
2024-05-15,Phoenix,36.08,11.27,84.42
2024-05-16,Phoenix,39.17,0.87,40.81
2024-05-17,Phoenix,37.14,7.44,97.69
2024-05-18,Phoenix,40.85,0.0,37.61
2024-05-19,Phoenix,37.92,0.0,66.46
2024-05-20,Phoenix,37.21,0.0,28.11
2024-05-21,Phoenix,38.4,0.0,36.6
2024-05-22,Phoenix,31.5,1.86,95.45
2024-05-23,Phoenix,40.43,0.0,47.96
2024-05-24,Phoenix,37.91,0.0,66.04
2024-05-25,Phoenix,38.36,8.13,58.0
2024-05-26,Phoenix,36.28,0.0,43.46
2024-05-27,Phoenix,36.1,3.84,78.27
2024-05-28,Phoenix,34.8,9.46,54.58
2024-05-29,Phoenix,36.22,0.0,11.52
2024-05-30,Phoenix,37.88,5.68,54.37
2024-05-31,Phoenix,36.1,4.58,28.75
2024-06-01,Phoenix,34.76,5.97,34.91
2024-06-02,Phoenix,36.25,0.0,69.33
2024-06-03,Phoenix,35.44,0.0,83.29
2024-06-04,Phoenix,33.89,0.0,64.01
2024-06-05,Phoenix,37.5,0.0,61.23
2024-06-06,Phoenix,35.9,5.47,63.53
2024-06-07,Phoenix,34.15,0.0,61.72
2024-06-08,Phoenix,32.59,0.0,68.73
2024-06-09,Phoenix,36.38,0.0,39.81
2024-06-10,Phoenix,35.65,12.29,60.42
2024-06-11,Phoenix,32.79,1.09,87.5
2024-06-12,Phoenix,32.79,0.0,50.35
2024-06-13,Phoenix,32.01,2.61,92.49
2024-06-14,Phoenix,34.4,0.74,54.16
2024-06-15,Phoenix,30.46,6.42,58.44
2024-06-16,Phoenix,33.06,17.97,65.98
2024-06-17,Phoenix,31.75,0.0,82.97
2024-06-18,Phoenix,33.31,0.0,78.38
2024-06-19,Phoenix,31.58,11.37,81.6
2024-06-20,Phoenix,31.86,8.41,61.36
2024-06-21,Phoenix,34.29,4.42,43.07
2024-06-22,Phoenix,31.12,7.15,53.3
2024-06-23,Phoenix,31.43,0.0,68.47
2024-06-24,Phoenix,36.19,0.0,60.48
2024-06-25,Phoenix,34.72,1.6,69.05
2024-06-26,Phoenix,29.6,4.14,56.26
2024-06-27,Phoenix,33.53,7.94,100.0
2024-06-28,Phoenix,32.54,3.63,63.89
2024-06-29,Phoenix,30.5,3.69,54.09
2024-06-30,Phoenix,31.38,8.59,39.87
2024-07-01,Phoenix,33.15,8.59,57.64
2024-07-02,Phoenix,26.45,0.0,85.94
2024-07-03,Phoenix,30.48,0.0,49.9
2024-07-04,Phoenix,32.03,4.73,55.22
2024-07-05,Phoenix,29.45,0.04,41.55
2024-07-06,Phoenix,33.24,0.39,84.34
2024-07-07,Phoenix,32.88,6.99,51.37
2024-07-08,Phoenix,30.47,1.88,41.93
2024-07-09,Phoenix,30.14,0.0,83.75
2024-07-10,Phoenix,28.4,3.01,65.67
2024-07-11,Phoenix,28.64,4.93,50.5
2024-07-12,Phoenix,30.73,0.0,62.53
2024-07-13,Phoenix,32.7,0.0,46.45
2024-07-14,Phoenix,29.68,2.9,67.01
2024-07-15,Phoenix,29.46,5.17,82.19
2024-07-16,Phoenix,29.14,0.79,73.45
2024-07-17,Phoenix,31.95,1.34,40.51
2024-07-18,Phoenix,30.2,1.4,16.55
2024-07-19,Phoenix,29.52,0.0,58.19
2024-07-20,Phoenix,28.32,2.95,74.19
2024-07-21,Phoenix,26.63,4.57,54.81
2024-07-22,Phoenix,28.81,5.08,41.29
2024-07-23,Phoenix,29.35,0.0,76.16
2024-07-24,Phoenix,27.75,11.19,55.53
2024-07-25,Phoenix,26.16,1.9,53.94
2024-07-26,Phoenix,28.3,0.0,38.93
2024-07-27,Phoenix,24.41,6.75,94.21
2024-07-28,Phoenix,26.18,1.16,61.4
2024-07-29,Phoenix,28.57,0.0,64.77
2024-07-30,Phoenix,28.04,4.51,63.79
2024-07-31,Phoenix,27.94,0.0,73.56
2024-08-01,Phoenix,24.48,0.0,70.22
2024-08-02,Phoenix,28.39,1.31,79.06
2024-08-03,Phoenix,28.73,8.57,92.8
2024-08-04,Phoenix,26.84,2.38,27.96
2024-08-05,Phoenix,24.72,0.0,100.0
2024-08-06,Phoenix,24.72,2.62,71.03
2024-08-07,Phoenix,25.02,10.48,47.55
2024-08-08,Phoenix,25.19,0.0,33.6
2024-08-09,Phoenix,23.44,1.81,51.41
