store_id,store_type,city,state,region,size_sqft,footfall_multiplier,avg_transaction_value,open_24x7,demand_volatility,opening_year
S0061,DOWNTOWN,Miami,Florida,EAST,4067,2.19,11.97,1,0.35,2022
S0062,RESIDENTIAL,Seattle,Washington,WEST,3608,1.07,13.47,0,0.15,2017
S0063,RESIDENTIAL,Austin,Texas,CENTRAL,2943,0.97,23.62,1,0.15,2015
S0064,COLLEGE,Boston,Massachusetts,EAST,3714,1.41,23.05,0,0.45,2023
S0065,DOWNTOWN,Atlanta,Georgia,EAST,1195,2.46,21.94,0,0.35,2018
S0066,RESIDENTIAL,Miami,Florida,EAST,943,1.02,10.86,0,0.15,2019
S0067,SUBURBAN,Seattle,Washington,WEST,1967,1.37,6.82,0,0.2,2021
S0068,RESIDENTIAL,Atlanta,Georgia,EAST,1956,1.17,15.92,1,0.15,2023
S0069,COLLEGE,Chicago,Illinois,CENTRAL,4124,2.22,13.52,0,0.45,2023
S0070,SUBURBAN,Chicago,Illinois,CENTRAL,2017,0.95,6.7,1,0.2,2015
S0071,COLLEGE,Atlanta,Georgia,EAST,1310,2.3,16.84,0,0.45,2017
S0072,RESIDENTIAL,Phoenix,Arizona,WEST,3014,1.01,23.13,0,0.15,2017
S0073,AIRPORT,Phoenix,Arizona,WEST,2043,3.07,19.82,1,0.2,2022
S0074,COLLEGE,Phoenix,Arizona,WEST,2758,2.12,16.67,1,0.45,2015
S0075,DOWNTOWN,Houston,Texas,CENTRAL,933,2.3,24.56,0,0.35,2019
S0076,RESIDENTIAL,Denver,Colorado,WEST,3611,0.84,16.08,1,0.15,2016
S0077,HIGHWAY,Boston,Massachusetts,EAST,4286,2.2,18.94,0,0.5,2021
S0078,DOWNTOWN,Austin,Texas,CENTRAL,3583,1.56,12.89,0,0.35,2019
S0079,DOWNTOWN,Denver,Colorado,WEST,4985,1.89,9.59,0,0.35,2019
S0080,HIGHWAY,Austin,Texas,CENTRAL,3308,1.88,8.25,1,0.5,2020
S0081,RESIDENTIAL,Chicago,Illinois,CENTRAL,2638,1.26,6.65,1,0.15,2019
S0082,RESIDENTIAL,Boston,Massachusetts,EAST,3936,1.04,24.71,0,0.15,2023
S0083,COLLEGE,Atlanta,Georgia,EAST,4800,1.82,13.3,0,0.45,2021
S0084,HIGHWAY,Atlanta,Georgia,EAST,3556,2.2,24.93,0,0.5,2019
S0085,SUBURBAN,Phoenix,Arizona,WEST,4978,1.05,14.01,0,0.2,2017
S0086,HIGHWAY,Phoenix,Arizona,WEST,2623,1.25,10.37,0,0.5,2016
S0087,COLLEGE,Atlanta,Georgia,EAST,4762,1.64,21.33,1,0.45,2023
S0088,AIRPORT,Austin,Texas,CENTRAL,4078,3.28,17.79,1,0.2,2017
S0089,DOWNTOWN,Boston,Massachusetts,EAST,2129,2.09,12.84,0,0.35,2016
S0090,RESIDENTIAL,Seattle,Washington,WEST,2158,1.0,17.44,1,0.15,2019
S0091,DOWNTOWN,Phoenix,Arizona,WEST,4272,1.99,10.16,0,0.35,2016
S0092,RESIDENTIAL,Atlanta,Georgia,EAST,4618,1.09,11.83,0,0.15,2021
S0093,HIGHWAY,Boston,Massachusetts,EAST,4245,1.9,8.6,0,0.5,2023
S0094,SUBURBAN,Miami,Florida,EAST,1466,1.3,8.45,0,0.2,2017
S0095,DOWNTOWN,Phoenix,Arizona,WEST,4700,1.53,15.97,0,0.35,2016
S0096,RESIDENTIAL,Dallas,Texas,CENTRAL,3096,1.04,18.76,0,0.15,2015
S0097,SUBURBAN,Chicago,Illinois,CENTRAL,2855,1.35,8.69,0,0.2,2022
S0098,DOWNTOWN,Atlanta,Georgia,EAST,4923,1.87,14.25,1,0.35,2022
S0099,COLLEGE,Miami,Florida,EAST,2446,2.23,19.99,0,0.45,2016
